Student Id,Quiz,Midterm,Assignment_1,Assignment_2,Assignment_3,Project,Presentation,Final_Exam_Marks,Total,Grade,Categories
87,9.01,5.32,2.98,4.01,2.89,9.01,8.12,39,80.34,A,Excellent
88,4.89,12.01,4.01,3.23,4.01,5.67,7.34,36,77.16,A-,Distinction
89,7.23,7.89,2.67,2.67,2.32,8.34,9.01,31,71.13,B+,Distinction
90,3.76,9.45,3.56,3.45,3.78,6.78,6.89,30,67.67,B,Distinction
91,8.01,11.76,4.32,4.56,2.54,9.45,8.45,23,72.09,B+,Distinction
92,4.56,5.89,2.1,2.98,4.56,5.21,7.56,26,58.86,C+,Pass
93,6.12,14.32,3.01,3.12,2.1,7.56,9.45,28,73.68,B+,Distinction
94,3.98,7.23,4.45,4.32,3.01,6.23,6.45,34,69.67,B,Distinction
95,9.45,10.98,2.32,2.1,4.32,8.9,8.9,36,82.97,A,Excellent
96,5.67,6.45,3.89,3.56,2.98,5.98,7.12,34,69.65,B,Distinction
97,7.89,13.12,4.56,4.01,3.56,7.12,9.67,36,85.93,A,Excellent
98,4.32,8.34,2.87,2.43,4.45,6.45,6.56,31,66.42,B,Distinction
99,6.01,5.67,3.12,3.89,2.43,9.34,8.23,37,75.69,A-,Distinction
100,9.5,14.8,3.3,4.2,4.3,7.34,8.56,39,91,A+,Exceptional
